id,edad_avl,edad_btree,nombre_completo,ciudad,profesion,telefono,email,salario,fecha_nacimiento,codigo_postal,puntuacion,estado_civil,nivel_educacion
U40ZI,38,40,Isabel Morales,Vigo,Electricista,637358986,isabel.morales@yahoo.es,57460,1980-06-01,67276,6.35,Casado,Primaria
8NJRS,39,41,Esperanza Ortega,Murcia,Enfermero,632800979,esperanza.ortega@hotmail.com,45842,1951-12-04,63863,4.36,Casado,Primaria
D8MXR,70,71,Laura López,Palma,Secretario,650816444,laura.lópez@outlook.com,52155,1990-01-01,48462,1.3,Soltero,Posgrado
NEJVC,79,77,Laura Ramírez,Terrassa,Electricista,614708494,laura.ramírez@yahoo.es,50540,1986-06-15,38599,5.84,Casado,Posgrado
ZZXJL,44,44,Mercedes Delgado,Sevilla,Veterinario,694717809,mercedes.delgado@outlook.com,50391,1988-03-07,41629,7.28,Divorciado,Posgrado
Q5MVH,50,48,Laura Serrano,Oviedo,Artista,610304335,laura.serrano@outlook.com,52438,1999-03-27,77976,2.79,Viudo,Primaria
3KJU4,29,27,Francisco Sánchez,Sevilla,Periodista,621956642,francisco.sánchez@empresa.com,30167,2000-01-28,64749,9.21,Viudo,Universidad
OADGY,49,49,Jesús Alonso,Granada,Veterinario,674885144,jesús.alonso@yahoo.es,58119,1953-03-04,82109,4.68,Viudo,Posgrado
CUUPV,40,40,Mercedes Domínguez,Córdoba,Profesor,616921660,mercedes.domínguez@hotmail.com,40732,2003-02-24,17549,9.98,Soltero,Secundaria
OOA4D,69,71,Ana Gutiérrez,Cartagena,Conductor,696992137,ana.gutiérrez@hotmail.com,37358,1969-10-19,27172,3.68,Casado,Primaria
2VLPJ,19,19,Pedro Blanco,Elche,Médico,626305175,pedro.blanco@gmail.com,39735,1955-08-17,87934,9.4,Divorciado,Universidad
97K14,18,20,Fernando Muñoz,Málaga,Deportista,613350429,fernando.muñoz@hotmail.com,36838,1980-11-03,34112,5.3,Viudo,Secundaria
EB2Q3,48,46,Manuel Martín,Sevilla,Conductor,624451845,manuel.martín@outlook.com,44784,2002-10-06,82272,2.24,Soltero,Universidad
BDYC4,69,69,Lucía Romero,Elche,Diseñador,664417727,lucía.romero@gmail.com,43537,2005-03-31,39000,1.19,Divorciado,Secundaria
SLDSX,50,52,Antonia Álvarez,Vigo,Músico,677547389,antonia.álvarez@gmail.com,50322,1975-11-30,66680,8.68,Soltero,Posgrado
9Z476,71,72,Antonio Gómez,Sevilla,Abogado,691704815,antonio.gómez@yahoo.es,51170,1966-06-04,17990,6.95,Soltero,Secundaria
RA9LQ,55,54,Francisca Hernández,Vigo,Ingeniero,619142536,francisca.hernández@hotmail.com,40304,1956-08-11,75328,1.24,Soltero,Universidad
0JNEN,79,81,Dolores Hernández,Valencia,Conductor,617563628,dolores.hernández@yahoo.es,48324,1983-01-16,15779,4.16,Casado,Primaria
B3PRO,77,78,Ángeles Fernández,Cartagena,Electricista,687960890,ángeles.fernández@empresa.com,51254,1982-09-08,47433,2.48,Soltero,Universidad
1M3IW,71,69,Francisco Gutiérrez,Cartagena,Artista,648618143,francisco.gutiérrez@empresa.com,52576,1951-03-11,44177,4.48,Divorciado,Primaria
YUUXH,41,43,Jorge Suárez,Sevilla,Médico,633340501,jorge.suárez@outlook.com,49470,2001-07-18,85753,4.94,Divorciado,Universidad
W0X96,68,69,Ángel Serrano,Elche,Periodista,672865560,ángel.serrano@outlook.com,44093,2003-10-16,96296,6.45,Viudo,Primaria
2TZSK,43,45,Ana Pérez,Valladolid,Deportista,688742542,ana.pérez@outlook.com,44339,1963-04-28,38663,7.12,Viudo,Universidad
02PV1,43,41,Ángeles Delgado,Bilbao,Psicólogo,617405704,ángeles.delgado@hotmail.com,43550,1999-07-04,17725,8.75,Viudo,Secundaria
DI8DM,38,36,Carlos Gil,Jerez,Dentista,681273720,carlos.gil@gmail.com,52007,2002-04-25,41075,8.58,Casado,Primaria
IR5YL,69,69,David García,Oviedo,Contador,637590209,david.garcía@hotmail.com,48665,1966-06-12,84823,5.35,Divorciado,Primaria
1BLUP,43,42,Antonio Suárez,Barcelona,Plomero,679992277,antonio.suárez@yahoo.es,57996,1957-06-01,61048,6.25,Divorciado,Universidad
K91G7,42,41,Elena Álvarez,Coruña,Electricista,688199270,elena.álvarez@yahoo.es,59835,1971-04-14,83034,4.46,Viudo,Primaria
TA2MN,52,50,Dolores Delgado,Palma,Vendedor,632916637,dolores.delgado@outlook.com,44839,1986-10-16,54177,7.87,Soltero,Secundaria
7NHS3,46,48,David Pérez,Vitoria,Arquitecto,691647120,david.pérez@empresa.com,49315,1985-11-06,70745,7.39,Soltero,Secundaria
